"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"52","5204409","CENTRO-OESTE","GO","GOIÁS","CAIAPÔNIA","CERRADO","0","0","863512.90000000002","410254.67670721","2017"
"52","5205802","CENTRO-OESTE","GO","GOIÁS","CORUMBÁ DE GOIÁS","CERRADO","0","0","106195.50000000000","47472.33774979","2017"
"35","3512803","SUDESTE","SP","SÃO PAULO","COSMÓPOLIS","CERRADO","0","0","15466.50000000000","965.48505160","2017"
"52","5205901","CENTRO-OESTE","GO","GOIÁS","CORUMBAÍBA","CERRADO","0","0","188366.50000000000","39973.54089141","2017"
"50","5003207","CENTRO-OESTE","MS","MATO GROSSO DO SUL","CORUMBÁ","CERRADO","0","0","6472171.90000000037","71759.58103902","2017"
"35","3512902","SUDESTE","SP","SÃO PAULO","COSMORAMA","CERRADO","0","0","44168.00000000000","13024.73317086","2017"
"31","3120102","SUDESTE","MG","MINAS GERAIS","COUTO DE MAGALHÃES DE MINAS","CERRADO","0","0","48565.40000000000","1764.14051776","2017"
"50","5003108","CENTRO-OESTE","MS","MATO GROSSO DO SUL","CORGUINHO","CERRADO","0","0","263816.79999999999","147643.15766109","2017"
"35","3513108","SUDESTE","SP","SÃO PAULO","CRAVINHOS","CERRADO","0","0","31142.30000000000","688.22026028","2017"
"50","5003256","CENTRO-OESTE","MS","MATO GROSSO DO SUL","COSTA RICA","CERRADO","0","0","416411.50000000000","176294.48246859","2017"
"35","3513207","SUDESTE","SP","SÃO PAULO","CRISTAIS PAULISTA","CERRADO","0","0","38523.00000000000","4722.10400947","2017"
"31","3120300","SUDESTE","MG","MINAS GERAIS","CRISTÁLIA","CERRADO","0","0","84070.20000000000","5467.32535138","2017"
"31","3119104","SUDESTE","MG","MINAS GERAIS","CORINTO","CERRADO","0","0","252539.70000000001","106309.49611044","2017"
"52","5206305","CENTRO-OESTE","GO","GOIÁS","CRISTIANÓPOLIS","CERRADO","0","0","22535.90000000000","9729.22612007","2017"
"31","3120201","SUDESTE","MG","MINAS GERAIS","CRISTAIS","CERRADO","0","0","62843.40000000000","24934.03574121","2017"
